	sample	read_count	ploidy	k	min_hom	max_hom	min_het	max_het	min_hap_len	max_hap_len	min_rep_len	max_rep_len	min_uniq_len	max_uniq_len	min_model_fit	max_model_fit	min_read_error_rate	max_read_error_rate
18	Resomia_NA10_080x	885754376	2	21	98.7406	100.0	0.0	1.25939	1646245039	2341427892	957194886	1361402920	689050153	980024972	47.7421	95.1788	0.480503	0.480503
19	Resomia_NA10_070x	775035079	2	21	98.3652	100.0	0.0	1.63476	1639957780	2377902233	920964772	1335378394	718993009	1042523839	47.5232	95.4336	0.452413	0.452413
20	Resomia_NA10_060x	664315782	2	21	93.7328	100.0	0.0	6.2672	675484941	Inf	331472323	Inf	344012618	Inf	42.49	14.0232	0.297894	0.297894
21	Resomia_NA10_050x	553596485	2	21	97.4795	100.0	0.0	2.52052	1542920290	2927220528	851610602	1615671303	691309688	1311549225	46.7823	95.0652	0.402876	0.402876
22	Resomia_NA10_040x	442877188	2	21	98.9959	100.0	0.0	1.00409	1687355525	2524713248	983120001	1470997696	704235525	1053715552	45.9799	97.6391	0.396155	0.396155
23	Resomia_NA10_030x	332157891	2	21	88.7059	95.392	4.60799	11.2941	488704238	509326083	360635275	375852995	128068963	133473087	30.7717	84.0776	1.32785	1.32785
24	Resomia_NA10_020x	221438594	2	21	92.8015	95.0115	4.98853	7.19849	282906791	292730800	237404969	245648917	45501821	47081883	23.3601	78.6408	2.12808	2.12808
25	Cordagalma_CWD6_060x	276081012	2	21	94.6192	94.7691	5.23089	5.38077	692152453	699391879	355777526	359498708	336374927	339893171	56.2955	95.8585	0.377309	0.377309
26	Cordagalma_CWD6_050x	230067510	2	21	94.6204	94.8008	5.19923	5.37962	693417671	704994983	360188595	366202309	333229076	338792673	56.6273	96.2407	0.360551	0.360551
27	Cordagalma_CWD6_040x	184054008	2	21	94.4919	94.7848	5.21518	5.50812	671299090	702349435	355112654	371538076	316186436	330811359	54.9896	94.6249	0.39315	0.39315
28	Cordagalma_CWD6_030x	138040506	2	21	93.9519	94.4177	5.58231	6.04807	655551160	700110057	357622776	381930988	297928384	318179070	55.8602	95.8343	0.380989	0.380989
29	Cordagalma_CWD6_020x	92027004	2	21	88.3299	95.3873	4.61269	11.6701	199631331	205529837	140501503	144652899	59129829	60876937	34.6211	78.114	2.54253	2.54253
